,domain,dt_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
141,sytes.net,20180324,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,27,4,0
142,sytes.net,20180323,13,15,4,0,0,0,0,0,0,47,22,18,30,16,0,0,0,4,4,2,0,2,0,0
143,sytes.net,20180322,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,1,0,0,0,0,0,0,0,9
144,uni.me,20180328,21,17,0,0,0,0,0,0,0,0,4,26,23,31,31,30,27,29,31,25,29,27,25,21
145,uni.me,20180329,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,uni.me,20180327,24,27,8,0,0,0,0,0,0,0,12,21,18,20,14,10,6,6,13,26,30,26,30,24
147,uni.me,20180326,25,9,0,0,0,0,0,0,0,0,0,21,22,26,20,17,22,24,30,30,22,30,30,29
148,uni.me,20180325,14,0,0,0,0,0,0,0,2,9,14,8,8,30,34,34,28,35,29,33,32,28,29,24
149,uni.me,20180324,24,26,11,0,0,0,0,0,0,0,0,0,13,25,29,33,30,29,30,31,32,33,31,30
150,uni.me,20180323,27,25,1,0,0,1,0,0,0,0,17,31,33,30,33,28,30,23,27,35,17,30,24,25
151,uni.me,20180322,0,0,0,0,0,0,0,0,0,9,24,24,22,17,25,25,31,29,32,32,33,30,32,25
152,zapto.org,20180328,12,15,4,0,0,2,28,40,36,33,23,14,34,23,50,62,22,27,15,15,9,14,29,36
153,zapto.org,20180329,19,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,zapto.org,20180326,74,26,20,8,9,10,8,9,39,22,4,0,0,7,3,0,0,1,5,10,82,53,30,36
155,zapto.org,20180327,68,57,31,19,18,12,11,12,13,13,11,16,9,19,20,11,15,89,46,36,20,8,24,4
156,zapto.org,20180325,21,19,16,14,14,10,12,12,10,48,39,38,39,32,31,22,22,23,19,11,14,19,34,27
157,zapto.org,20180324,16,10,10,11,6,4,8,15,12,18,9,29,59,45,29,66,63,34,30,11,14,12,11,16
158,zapto.org,20180322,0,0,0,0,0,0,0,0,8,6,12,8,13,12,18,22,32,29,20,9,11,11,19,27
159,zapto.org,20180323,47,50,19,8,9,9,6,10,8,6,6,27,37,74,32,45,21,17,20,14,15,7,3,18
160,publicvm.com,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
161,publicvm.com,20180324,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
162,publicvm.com,20180325,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,dothome.co.kr,20180329,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,dothome.co.kr,20180328,6,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,3,6,1,0,1
165,dothome.co.kr,20180327,0,0,0,0,0,0,0,0,37,56,13,0,0,2,0,0,0,0,0,7,0,0,0,0
166,dothome.co.kr,20180326,6,0,0,0,0,0,0,0,0,0,0,0,8,46,18,1,0,1,8,0,0,0,0,0
167,dothome.co.kr,20180324,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
168,dothome.co.kr,20180323,6,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0
